Date,Close,tby,ffr,fta,eps,div,une
2020-10-08,3446.83,0.78,0.09,7074649.0,99.95,1.77,6.9
2020-10-09,3477.13,0.79,0.09,7074649.0,99.95,1.77,6.9
2020-10-13,3511.93,0.74,0.09,7074649.0,99.95,1.77,6.9
2020-10-14,3488.67,0.73,0.09,7151426.0,99.95,1.77,6.9
2020-10-15,3483.34,0.74,0.09,7151426.0,99.95,1.77,6.9
2020-10-16,3483.81,0.76,0.09,7151426.0,99.95,1.77,6.9
2020-10-19,3426.92,0.78,0.09,7151426.0,99.95,1.77,6.9
2020-10-20,3443.12,0.81,0.09,7151426.0,99.95,1.77,6.9
2020-10-21,3435.56,0.83,0.09,7177265.0,99.95,1.77,6.9
2020-10-22,3453.49,0.87,0.09,7177265.0,99.95,1.77,6.9
2020-10-23,3465.39,0.85,0.09,7177265.0,99.95,1.77,6.9
2020-10-26,3400.97,0.81,0.09,7177265.0,99.95,1.77,6.9
2020-10-27,3390.68,0.79,0.09,7177265.0,99.95,1.77,6.9
2020-10-28,3271.03,0.79,0.09,7146306.0,99.95,1.77,6.9
2020-10-29,3310.11,0.85,0.09,7146306.0,99.95,1.77,6.9
2020-10-30,3269.96,0.88,0.09,7146306.0,99.95,1.77,6.9
2020-11-30,3621.63,0.84,0.09,7216480.0,97.2,1.65,6.7
2020-12-01,3662.45,0.92,0.09,7216480.0,97.2,1.61,6.7
2020-12-02,3669.01,0.95,0.09,7222414.0,97.2,1.61,6.7
2020-12-03,3666.72,0.92,0.09,7222414.0,97.2,1.61,6.7
2020-12-04,3699.12,0.97,0.09,7222414.0,97.2,1.61,6.7
2020-12-07,3691.96,0.94,0.09,7222414.0,97.2,1.61,6.7
2020-12-08,3702.25,0.92,0.09,7222414.0,97.2,1.61,6.7
2020-12-09,3672.82,0.95,0.09,7242658.0,97.2,1.61,6.7
2020-12-10,3668.1,0.92,0.09,7242658.0,97.2,1.61,6.7
2020-12-11,3663.46,0.9,0.09,7242658.0,97.2,1.61,6.7
2020-12-14,3647.49,0.9,0.09,7242658.0,97.2,1.61,6.7
2020-12-15,3694.62,0.92,0.09,7242658.0,97.2,1.61,6.7
2020-12-16,3701.17,0.92,0.09,7362592.0,97.2,1.61,6.7
2020-12-17,3722.48,0.94,0.09,7362592.0,97.2,1.61,6.7
2020-12-18,3709.41,0.95,0.09,7362592.0,97.2,1.61,6.7
2020-12-21,3694.92,0.95,0.09,7362592.0,97.2,1.61,6.7
2020-12-22,3687.26,0.93,0.09,7362592.0,97.2,1.61,6.7
2020-12-23,3690.01,0.96,0.09,7404039.0,97.2,1.61,6.7
2020-12-24,3703.06,0.94,0.09,7404039.0,97.2,1.61,6.7
2020-12-28,3735.36,0.94,0.09,7404039.0,97.2,1.61,6.7
2020-12-29,3727.04,0.94,0.09,7404039.0,97.2,1.61,6.7
2020-12-30,3732.04,0.93,0.09,7363351.0,97.2,1.61,6.7
2020-12-31,3756.07,0.93,0.09,7363351.0,95.72,1.58,6.7
