Date, Open, High, Low, Close
08/09/11, 1050.78, 1103.82, 1033.00, 1102.00
08/08/11, 1148.91, 1148.91, 1047.46, 1050.78
08/05/11, 1151.53, 1176.53, 1105.32, 1148.91
08/04/11, 1235.44, 1235.44, 1148.91, 1151.53
08/03/11, 1246.76, 1246.76, 1212.16, 1235.44
08/02/11, 1281.90, 1282.07, 1246.76, 1246.76
08/01/11, 1284.51, 1303.29, 1269.46, 1281.90
07/29/11, 1296.92, 1296.92, 1279.25, 1284.51
07/28/11, 1305.17, 1310.52, 1294.78, 1296.92
07/27/11, 1335.16, 1335.16, 1302.58, 1305.17
07/26/11, 1341.34, 1346.47, 1330.24, 1335.16
07/25/11, 1344.12, 1350.86, 1330.05, 1341.34
07/22/11, 1345.30, 1348.54, 1336.44, 1344.12
07/21/11, 1319.46, 1347.44, 1319.46, 1345.29
07/20/11, 1322.65, 1328.25, 1318.08, 1319.46
07/19/11, 1303.83, 1324.16, 1303.83, 1322.65
07/18/11, 1311.87, 1311.87, 1295.62, 1303.83
07/15/11, 1288.98, 1312.29, 1288.98, 1311.87
07/14/11, 1290.86, 1312.00, 1287.56, 1288.98
07/13/11, 1284.78, 1310.12, 1284.78, 1290.86
07/12/11, 1292.13, 1302.18, 1284.43, 1284.78
07/11/11, 1325.57, 1325.57, 1288.04, 1292.13
07/08/11, 1335.96, 1335.96, 1313.01, 1325.57
07/07/11, 1315.74, 1338.48, 1315.74, 1335.96
07/06/11, 1322.14, 1322.14, 1308.53, 1315.74
07/05/11, 1318.38, 1330.15, 1317.75, 1322.14
07/01/11, 1337.18, 1337.18, 1291.48, 1318.38
06/30/11, 1282.64, 1305.23, 1282.64, 1304.31
06/29/11, 1265.07, 1287.35, 1264.66, 1282.64
06/28/11, 1236.01, 1265.76, 1236.01, 1265.07
06/27/11, 1228.18, 1243.13, 1223.80, 1236.01
06/24/11, 1250.33, 1250.72, 1226.33, 1228.18
06/23/11, 1266.73, 1266.73, 1222.07, 1250.33
06/22/11, 1272.83, 1283.09, 1264.66, 1266.73
06/21/11, 1245.05, 1277.70, 1245.05, 1272.83
06/20/11, 1244.30, 1246.91, 1234.93, 1245.04
06/17/11, 1244.98, 1261.01, 1237.52, 1244.30
06/16/11, 1244.39, 1255.34, 1232.42, 1244.98
06/15/11, 1276.69, 1276.69, 1237.43, 1244.39
06/14/11, 1250.45, 1282.77, 1250.45, 1276.69
06/13/11, 1262.58, 1274.13, 1240.01, 1250.45
06/10/11, 1286.22, 1286.22, 1259.60, 1262.58
06/09/11, 1270.17, 1293.18, 1270.17, 1286.22
06/08/11, 1269.63, 1286.02, 1266.95, 1270.17
